"langs","codes","fams","scripts","word.len","word.size","char.len","char.size","char.h0","char.h1","char.H2","char.h2","char.H3","char.h3","word.mawe10000.h0","word.mawe10000.h1","word.mawe10000.H2","word.mawe10000.h2","word.mawe10000.H3","word.mawe10000.h3","mattr500","mattr1000","mattr2000","word1","word2","word3","word4","word5","word1.prop","word2.prop","word5.prop","word10.prop","word25.prop","word50.prop","word100.prop","beta","beta.error","beta.100","beta.100.error"
"Voynich B Maximal Simplified Text","voy.b.text","Voynich","Voynich",21632,4661,133442,22,4.4594316186373,3.87548580286236,5.88033885207344,2.00485304921107,7.60756897662185,1.72723012454842,10.8217904560552,9.34790695312483,12.2105958189153,2.8626888657905,12.4095029503219,0.198907131406584,0.598152892561983,0.507216340621404,0.427084670231729,"chedy","ol","shedy","aiin","daiin",0.0210336538461538,0.0183062130177515,0.0864922337278106,0.14686575443787,0.25882951183432,0.36769600591716,0.475915310650888,-0.595657643299175,0.00254092619926774,-0.520276802784167,0.0173866691745996
"Voynich B Minimal","voy.b.min","Voynich","Voynich",23226,4917,117030,40,5.32192809488736,3.93493477534862,6.23872112020187,2.30378634485325,8.31524870991545,2.07652758971358,11.0566745844756,9.47881167267464,12.5236363768629,3.04482470418824,12.7373738494502,0.213737472587358,0.594082846921484,0.510162241887906,0.429484230560087,"Sedy","ol","Zedy","aM","daM",0.0211401016102644,0.0181262378369069,0.0858951175406872,0.144794626711444,0.257427021441488,0.365840006888832,0.47339188840093,-0.597843916942422,0.00243852545657478,-0.525689151737325,0.0172325435906209
"Voynich B Minimal Text","voy.b.min.text","Voynich","Voynich",21632,4635,109119,40,5.32192809488736,3.93520394594312,6.230298648874,2.29509470293088,8.29565568548324,2.06535703660924,10.8171734288517,9.34457912870872,12.2103291255793,2.86574999687061,12.4095029503219,0.199173824742585,0.597607438016529,0.506508055235903,0.426347147950089,"Sedy","ol","Zedy","aM","daM",0.0210336538461538,0.0183062130177515,0.0864922337278106,0.146958210059172,0.258921967455621,0.367788461538462,0.476007766272189,-0.595394323635848,0.00254584654903775,-0.520174157868276,0.0173992121733035
"Voynich 1 Maximal","voy.1.com","Voynich","Voynich",10877,3260,63455,42,5.39231742277876,3.85061040121737,6.02055784455354,2.16994744333617,7.9113754021583,1.89081755760476,10.2656812107232,9.05083691505313,11.3906878118814,2.33985089682822,11.5216351963667,0.130947384485393,0.621839884253677,0.539829584326734,0.475437571265678,"daiin","chol","chor","s","dy",0.0463363059667188,0.0250988323986393,0.11400202261653,0.161625448193436,0.257699733382366,0.348993288590604,0.452146731635561,-0.78537336258116,0.00144026737175213,-0.867573421078666,0.00871310207544955
"Voynich 1 Maximal Text","voy.1.com.text","Voynich","Voynich",10352,3032,60691,33,5.04439411935845,3.83954841135669,5.97062604032213,2.13107762896544,7.82497518167062,1.85434914134849,9.66508862216838,8.54562443420838,10.7313237028683,2.18569926865987,10.8642598788128,0.132936175944508,0.615461038961039,0.540607438016529,0.480530303030303,"daiin","chol","chor","s","dy",0.0482032457496136,0.0261785162287481,0.118044822256569,0.167793663060278,0.266325347758887,0.357805255023184,0.463195517774343,-0.789926292137683,0.00148279331476277,-0.867931080709405,0.00849276353343313
"Voynich 1 Maximal Simplified","voy.1","Voynich","Voynich",10877,3244,63457,22,4.4594316186373,3.84136815953606,6.00718492945244,2.16581676991638,7.90021834575321,1.89303341630077,10.2618632857248,9.04419868781105,11.3888001928214,2.34460150501031,11.5211483321192,0.132348139297866,0.621112611526405,0.539102311599461,0.474437571265678,"daiin","chol","chor","s","dy",0.0463363059667188,0.0250988323986393,0.11400202261653,0.161625448193436,0.257699733382366,0.349361037050657,0.453985473935828,-0.784576785143323,0.00145223673906877,-0.866160087154491,0.00855304499710674
"Voynich 1 Maximal Simplified Text","voy.1.text","Voynich","Voynich",10352,3023,60691,21,4.39231742277876,3.83324273039915,5.96141245063326,2.12816972023411,7.81650958215982,1.85509713152656,9.66289866343321,8.54412457545699,10.7313237028683,2.18719912741127,10.8642598788128,0.132936175944508,0.615365800865801,0.54051652892562,0.48019696969697,"daiin","chol","chor","s","dy",0.0482032457496136,0.0261785162287481,0.118044822256569,0.167793663060278,0.266325347758887,0.357805255023184,0.463292117465224,-0.789785176780748,0.00148307978245013,-0.867862971778444,0.00848489748349714
"Voynich 1 Minimal","voy.1.min","Voynich","Voynich",10877,3231,51184,40,5.32192809488736,3.89788582503635,6.40418462699873,2.50629880196237,8.68895822119388,2.28477359419516,10.2551256585804,9.0370986083969,11.3888001928214,2.35170158442445,11.5212483521232,0.132448159301867,0.620416927899686,0.538427697729864,0.473284112504751,"daM","Sol","Sor","s","dy",0.0463363059667188,0.0250988323986393,0.11400202261653,0.161625448193436,0.257699733382366,0.349636848395697,0.454261285280868,-0.784285611563564,0.00145471296189844,-0.865860238706055,0.00855326094887067
"Voynich 1 Minimal Text","voy.1.min.text","Voynich","Voynich",10352,3011,48658,39,5.28540221886225,3.89235763137622,6.36299392427583,2.4706362928996,8.61354893659562,2.2505550123198,9.65417395947833,8.53580182898422,10.7313237028683,2.19552187388404,10.8643598988168,0.133036195948509,0.614809523809524,0.539727272727273,0.47875,"daM","Sol","Sor","s","dy",0.0482032457496136,0.0261785162287481,0.118044822256569,0.167793663060278,0.266325347758887,0.357998454404946,0.463581916537867,-0.789527617950503,0.00148478125775788,-0.867607755991602,0.00846811775859629
"Voynich 2 Maximal","voy.2.com","Voynich","Voynich",11070,2590,66381,26,4.70043971814109,3.86444613780034,5.83172573078884,1.9672795929885,7.5087020773855,1.67697634659666,10.1241861774606,8.73653739296232,11.4501216705101,2.71358427754778,11.6665136697957,0.216391999285579,0.561900621118012,0.49247619047619,0.394264797507788,"shedy","ol","chedy","qokedy","qokain",0.0262872628726287,0.0261065943992773,0.110478771454381,0.179855465221319,0.308310749774164,0.415356820234869,0.535320686540199,-0.610605767683445,0.00355464130283153,-0.552797961809372,0.0193355285936075
